Number,Well,Salt 1,Salt 2,Salt 3,Salt 4,Buffer ,Precipitant 1,Precipitant 2,Final pH,100 ml Refill SKU
1,A1,0.2 M Lithium sulfate,,,,0.1 M Sodium acetate pH 4.5,50 %(v/v) PEG 400,,,135901-01
2,A2,  ,,,,0.1 M tri-Sodium citrate pH 5.5,20 %(w/v) PEG 3000,,,135901-02
3,A3,0.18 M tri-Ammonium citrate,,,,,20 %(w/v) PEG 3350,,,135901-03
4,A4,0.02 M Calcium chloride ,,,,0.1 M Sodium acetate pH 4.6,30 %(v/v) MPD,,,135901-04
5,A5,0.2 M Magnesium formate,,,,,20 %(w/v) PEG 3350,,,135901-05
6,A6,0.2 M Lithium sulfate,,,,0.1 M Phosphate-citrate pH 4.2,20 %(w/v) PEG 1000,,,135901-06
7,A7,  ,,,,0.1 M CHES pH 9.5,20 %(w/v) PEG 8000,,,135901-07
8,A8,0.2 M Ammonium formate,,,,,20 %(w/v) PEG 3350,,,135901-08
9,A9,0.2 M Ammonium chloride,,,,,20 %(w/v) PEG 3350,,,135901-09
10,A10,0.2 M Potassium formate,,,,,20 %(w/v) PEG 3350,,,135901-10
11,A11,0.2 M Ammonium phosphate,,,,0.1 M TRIS pH 8.5,50 %(v/v) MPD,,,135901-11
12,A12,0.2 M Potassium nitrate,,,,,20 %(w/v) PEG 3350,,,135901-12
13,B1,0.8 M Ammonium sulfate,,,,0.1 M Citric acid pH 3.5,  ,,4,135901-13
14,B2,0.2 M Sodium thiocyanate,,,,,20 %(w/v) PEG 3350,,,135901-14
15,B3,  ,,,,0.1 M BICINE pH 8.5,20 %(w/v) PEG 6000,,9,135901-15
16,B4,  ,,,,0.1 M HEPES  pH 7.5,10 %(w/v) PEG 8000,8 %(v/v) Ethylene glycol,,135901-16
17,B5,  ,,,,0.1 M Sodium cacodylate pH 6.5,40 %(v/v) MPD,5 %(w/v) PEG 8000,,135901-17
18,B6,  ,,,,0.1 M Phosphate-citrate pH 4.2,40 %(v/v) Ethanol,5 %(w/v) PEG 1000,,135901-18
19,B7,  ,,,,0.1 M Sodium acetate pH 4.6,8 %(w/v) PEG 4000,,,135901-19
20,B8,0.2 M Magnesium chloride,,,,0.1 M TRIS pH 7.0,10 %(w/v) PEG 8000,,,135901-20
21,B9,  ,,,,0.1 M Citric acid pH 4.0,20 %(w/v) PEG 6000,,5,135901-21
22,B10,0.2 M Magnesium chloride,,,,0.1 M Sodium cacodylate pH 6.5,50 %(v/v) PEG 200,,,135901-22
23,B11,,,,,1.6 M tri-Sodium citrate pH 6.5,  ,,6.5,135901-23
24,B12,0.2 M tri-Potassium citrate,,,,,20 %(w/v) PEG 3350,,,135901-24
25,C1,0.2 M Sodium chloride,,,,0.1 M Phosphate-citrate pH 4.2,20 %(w/v) PEG 8000,,,135901-25
26,C2,1 M Lithium chloride,,,,0.1 M Citric acid pH 4.0,20 %(w/v) PEG 6000,,4,135901-26
27,C3,0.2 M Ammonium nitrate,,,,,20 %(w/v) PEG 3350,,,135901-27
28,C4,  ,,,,0.1 M HEPES pH 6.5,10 %(w/v) PEG 6000,,7,135901-28
29,C5,0.8 M Sodium phosphate,0.8 M Potassium phosphate,,,0.1 M HEPES  pH 7.5,,,,135901-29
30,C6,  ,,,,0.1 M Phosphate-citrate pH 4.2,40 %(v/v) PEG 300,,,135901-30
31,C7,0.2 M Zinc acetate,,,,0.1 M Sodium acetate pH 4.5,10 %(w/v) PEG 3000,,,135901-31
32,C8,  ,,,,0.1 M TRIS pH 8.5,20 %(v/v) Ethanol,,,135901-32
33,C9,  ,,,,0.1 M Na/K phosphate pH 6.2,"25 %(v/v) 1,2 propanediol",10 %(v/v) Glycerol,,135901-33
34,C10,  ,,,,0.1 M BICINE pH 9.0,10 %(w/v) PEG 20000,"2 %(v/v) 1,4-Dioxane",,135901-34
35,C11,2 M Ammonium sulfate,,,,0.1 M Sodium acetate pH 4.6,  ,,,135901-35
36,C12,  ,,,,,10 %(w/v) PEG 1000,10% (w/v) PEG 8000,,135901-36
37,D1,  ,,,,,24 %(w/v) PEG 1500,20% (w/v) Glycerol,,135901-37
38,D2,0.2 M Magnesium chloride,,,,0.1 M HEPES pH 7.5,30 %(v/v) PEG 400,,,135901-38
39,D3,0.2 M Sodium chloride,,,,0.1 M Na/K phosphate pH 6.2,50 %(v/v) PEG 200,,,135901-39
40,D4,0.2 M Lithium sulfate,,,,0.1 M Sodium acetate pH 4.5,30 %(w/v) PEG 8000,,,135901-40
41,D5,,,,,0.1 M HEPES pH 7.5,70 %(v/v) MPD,,,135901-41
42,D6,0.2 M Magnesium chloride,,,,0.1 M TRIS pH 8.5,20 %(w/v) PEG 8000,,,135901-42
43,D7,0.2 M Lithium sulfate,,,,0.1 M TRIS pH 8.5,40 %(v/v) PEG 400,,,135901-43
44,D8,  ,,,,0.1 M TRIS pH 8.0,40 %(v/v) MPD,,8,135901-44
45,D9,0.17 M Ammonium sulfate,,,,,"25,5 %(w/v) PEG 4000",15 %(v/v) Glycerol,,135901-45
46,D10,0.2 M Calcium acetate,,,,0.1 M Sodium cacodylate pH 6.5,40 %(v/v) PEG 300,,,135901-46
47,D11,0.14 M Calcium chloride,,,,0.07 M Sodium acetate pH 4.6,14 %(v/v) Isopropanol,30 %(v/v) Glycerol,,135901-47
48,D12,0.04 M Potassium phosphate,,,,,16 %(w/v) PEG 8000,20 %(v/v) Glycerol,,135901-48
49,E1,1 M tri-Sodium citrate,,,,0.1 M Sodium cacodylate pH 6.5,  ,,,135901-49
50,E2,0.2 M Sodium chloride,,,,0.1 M Sodium cacodylate pH 6.5,2 M Ammonium sulfate,,,135901-50
51,E3,0.2 M Sodium chloride,,,,0.1 M HEPES pH 7.5,10 %(v/v) Isopropanol,,,135901-51
52,E4,0.2 M Lithium sulfate,,,,0.1 M TRIS pH 8.5,"1,26 M Ammonium sulfate",,,135901-52
53,E5,  ,,,,0.1 M CAPS pH 10.5,40 %(v/v) MPD,,,135901-53
54,E6,0.2 M Zinc acetate,,,,0.1 M Imidazole pH 8.0,20 %(w/v) PEG 3000,,,135901-54
55,E7,0.2 M Zinc acetate,,,,0.1 M Sodium cacodylate pH 6.5,10 %(v/v) Isopropanol,,,135901-55
56,E8,1 M di-Ammonium phosphate,,,,0.1 M Sodium acetate pH 4.5,  ,,,135901-56
57,E9,1.6 M Magnesium sulfate,,,,0.1 M MES pH 6.5,  ,,,135901-57
58,E10,  ,,,,0.1 M BICINE pH 9.0,10 %(w/v) PEG 6000,,9,135901-58
59,E11,0.16 M Calcium acetate,,,,0.08 M Sodium cacodylate pH 6.5,"14,4 %(w/v) PEG 8000",20 %(v/v) Glycerol,,135901-59
60,E12,  ,,,,0.1 M Imidazole pH 8.0,10 %(w/v) PEG 8000,,,135901-60
61,F1,0.05 M Cesium chloride,,,,0.1 M MES pH 6.5,30%(v/v) Jeffamine M-600,,,135901-61
62,F2,3.2 M Ammonium sulfate,,,,0.1 M Citric acid pH 4.0,  ,,5,135901-62
63,F3,  ,,,,0.1 M TRIS pH 8.5,20 %(v/v) MPD,,8,135901-63
64,F4,  ,,,,0.1 M HEPES pH 7.5,20 %(v/v) Jeffamine M-600,,,135901-64
65,F5,0.2 M Magnesium chloride,,,,0.1 M TRIS pH 8.5,50 %(v/v) Ethylene glycol,,,135901-65
66,F6,  ,,,,0.1 M BICINE pH 8.5,10 %(v/v) MPD,,9,135901-66
67,F7,0.8 M Succinic acid pH 7.0,,,,,  ,,,135901-67
68,F8,2.1 M DL-Malic acid pH 7.0,,,,,  ,,,135901-68
69,F9,2.4 M Sodium malonate pH 7.0,,,,,  ,,,135901-69
70,F10,1.1 M Sodium malonate,,,,0.1 M HEPES pH 7.0,"0,5 %(v/v) Jeffamine ED-2001",,7,135901-70
71,F11,1 M Succinic acid,,,,0.1 M HEPES pH 7.0,1 %(w/v) PEG MME 2000,,7,135901-71
72,F12,  ,,,,0.1 M HEPES pH 7.0,30 %(v/v) Jeffamine M-600,,7,135901-72
73,G1,  ,,,,0.1 M HEPES pH 7.0,30 %(v/v) Jeffamine ED-2001,,7,135901-73
74,G2,0.02 M Magnesium chloride,,,,0.1 M HEPES pH 7.5,22 %(w/v) Polyacrylic acid 5100 sodium salt,,,135901-74
75,G3,0.01 M Cobalt chloride,,,,0.1 M TRIS pH 8.5,20 %(w/v) Polyvinylpyrrolidone K15,,,135901-75
76,G4,0.2 M Trimethylamine N-oxide,,,,0.1 M TRIS pH 8.5,20 %(w/v) PEG MME 2000,,,135901-76
77,G5,0.005 M Cobalt chloride ,0.005 M Cadmium chloride, 0.005 M Magnesium chloride, 0.005 M Nickel chloride,0.1 M HEPES pH 7.5,12 %(w/v) PEG 3350,,,135901-77
78,G6,0.24 M Sodium malonate pH 7.0,,,,,20 %(w/v) PEG 3350,,,135901-78
79,G7,0.1 M Succinic acid pH 7.0,,,,,15 %(w/v) PEG 3350,,,135901-79
80,G8,0.15 M DL-Malic acid pH 7.0,,,,,20 %(w/v) PEG 3350,,,135901-80
81,G9,0.1 M Potassium thiocyanate,,,,,30 %(w/v) PEG MME 2000,,,135901-81
82,G10,0.15 M Potassium bromide,,,,,30 %(w/v) PEG MME 2000,,,135901-82
83,G11,2 M Ammonium sulfate,,,,0.1 M BIS-TRIS pH 5.5,  ,,,135901-83
84,G12,3 M Sodium chloride,,,,0.1 M BIS-TRIS pH 5.5,  ,,,135901-84
85,H1,0.3 M Magnesium formate,,,,0.1 M BIS-TRIS pH 5.5,  ,,,135901-85
86,H2,1 M Ammonium sulfate,,,,0.1 M BIS-TRIS pH 5.5,1 %(w/v) PEG 3350,,,135901-86
87,H3,0.1 M tri-Sodium acetate pH 4.5,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-87
88,H4,0.2 M Calcium chloride,,,,0.1 M BIS-TRIS pH 5.5,45 %(v/v) MPD,,,135901-88
89,H5,0.2 M Ammonium acetate,,,,0.1 M BIS-TRIS pH 5.5,45 %(v/v) MPD,,,135901-89
90,H6,0.1 M Ammonium acetate,,,,0.1 M BIS-TRIS pH 5.5,"17 %(w/v) PEG 10,000",,,135901-90
91,H7,0.2 M Ammonium sulfate,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-91
92,H8,0.2 M Sodium chloride,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-92
93,H9,0.2 M Lithium sulfate,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-93
94,H10,0.2 M Ammonium acetate,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-94
95,H11,0.2 M Magnesium chloride,,,,0.1 M BIS-TRIS pH 5.5,25 %(w/v) PEG 3350,,,135901-95
96,H12,0.2 M Ammonium acetate,,,,0.1 M HEPES pH 7.5,45 %(v/v) MPD,,,135901-96
